schoolyear,termname,starttype,startdate,enddate,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18
2019-2020,Sem 1,start1,8/24/2019,1/17/2020,8/25/2019,9/1/2019,9/8/2019,9/15/2019,9/22/2019,9/29/2019,10/6/2019,10/13/2019,10/20/2019,10/27/2019,11/3/2019,11/10/2019,11/17/2019,12/1/2019,12/8/2019,12/15/2019,12/29/2019,1/5/2020
2019-2020,Sem 1,start2,8/31/2019,1/24/2020,9/1/2019,9/8/2019,9/15/2019,9/22/2019,9/29/2019,10/6/2019,10/13/2019,10/20/2019,10/27/2019,11/3/2019,11/10/2019,11/17/2019,12/1/2019,12/8/2019,12/15/2019,12/29/2019,1/5/2020,1/12/2020
2019-2020,Sem 1,ap,8/24/2019,1/17/2020,8/25/2019,9/1/2019,9/8/2019,9/15/2019,9/22/2019,9/29/2019,10/6/2019,10/13/2019,10/20/2019,10/27/2019,11/3/2019,11/10/2019,11/17/2019,12/1/2019,12/8/2019,12/15/2019,12/29/2019,1/5/2020
2019-2020,Sem 2,start1,1/18/2020,6/5/2020,1/19/2020,1/26/2020,2/2/2020,2/9/2020,2/16/2020,2/23/2020,3/1/2020,3/8/2020,3/15/2020,3/22/2020,3/29/2020,4/12/2020,4/19/2020,4/26/2020,5/3/2020,5/10/2020,5/17/2020,5/24/2020
2019-2020,Sem 2,start2,1/25/2020,6/12/2020,1/26/2020,2/2/2020,2/9/2020,2/16/2020,2/23/2020,3/1/2020,3/8/2020,3/15/2020,3/22/2020,3/29/2020,4/12/2020,4/19/2020,4/26/2020,5/3/2020,5/10/2020,5/17/2020,5/24/2020,5/31/2020
2019-2020,Sem 2,ap,1/18/2020,6/5/2020,1/19/2020,1/26/2020,2/2/2020,2/9/2020,2/16/2020,2/23/2020,3/1/2020,3/8/2020,3/15/2020,3/22/2020,3/29/2020,4/5/2020,4/12/2020,4/19/2020,4/26/2020,5/3/2020,5/10/2020,5/17/2020
2019-2020,Tri 1,start1,8/24/2019,11/22/2019,8/25/2019,9/1/2019,9/8/2019,9/15/2019,9/22/2019,9/29/2019,10/6/2019,10/13/2019,10/20/2019,10/27/2019,11/3/2019,11/10/2019,,,,,,
2019-2020,Tri 1,start2,8/31/2019,11/29/2019,9/1/2019,9/8/2019,9/15/2019,9/22/2019,9/29/2019,10/6/2019,10/13/2019,10/20/2019,10/27/2019,11/3/2019,11/10/2019,11/17/2019,,,,,,
2019-2020,Tri 2,start1,11/23/2019,2/28/2020,11/24/2019,12/1/2019,12/8/2019,12/15/2019,12/29/2019,1/5/2020,1/12/2020,1/19/2020,1/26/2020,2/2/2020,2/9/2020,2/16/2020,,,,,,
2019-2020,Tri 2,start2,11/30/2019,3/6/2020,12/1/2019,12/8/2019,12/15/2019,12/29/2019,1/5/2020,1/12/2020,1/19/2020,1/26/2020,2/2/2020,2/9/2020,2/16/2020,2/23/2020,,,,,,
2019-2020,Tri 3,start1,2/29/2020,6/5/2020,3/1/2020,3/8/2020,3/15/2020,3/22/2020,4/5/2020,4/12/2020,4/19/2020,4/26/2020,5/3/2020,5/10/2020,5/17/2020,5/24/2020,,,,,,
2019-2020,Tri 3,start2,3/7/2020,6/12/2020,3/8/2020,3/15/2020,3/22/2020,4/5/2020,4/12/2020,4/19/2020,4/26/2020,5/3/2020,5/10/2020,5/17/2020,5/24/2020,5/31/2020,,,,,,
2019-2020,Summer,start1,6/8/2020,8/14/2020,6/7/2020,6/14/2020,6/21/2020,6/28/2020,7/5/2020,7/12/2020,7/19/2020,7/26/2020,8/2/2020,8/9/2020,,,,,,,,